#CODE;ENGLISH;;;;;;;;;;;;;x
#Event Titles
dw_lilith_dream_title;Dreaming of Lilith;;;;;;;;;;;;;x
dw_pox_purge_title;Lover's Pox Purge;;;;;;;;;;;;;x
dw_lilith_blood_moon_title;Blood Moon Celebration;;;;;;;;;;;;;x
dw_blood_moon_tribute_payment;Blood Moon Tribute;;;;;;;;;;;;;x
dw_blood_moon_tribute_no_payment;No Blood Moon Tribute;;;;;;;;;;;;;x
dw_incubus_nightmare;Incubus: Nightmare;;;;;;;;;;;;;x
dw_incubus_illusionist;Incubus: Illusionist;;;;;;;;;;;;;x
dw_incubus_monster;Incubus: Monster;;;;;;;;;;;;;x
dw_incubus_leech;Incubus: Leech;;;;;;;;;;;;;x
dw_incubus_seducer;Incubus: Seducer;;;;;;;;;;;;;x
dw_succubus_demoness;Succubus: Demoness;;;;;;;;;;;;;x
dw_succubus_corrupter;Succubus: Corrupter;;;;;;;;;;;;;x
dw_succubus_monster;Succubus: Monster;;;;;;;;;;;;;x
dw_succubus_leech;Succubus: Leech;;;;;;;;;;;;;x
dw_succubus_seductress;Succubus: Seductress;;;;;;;;;;;;;x
dw_lilith_immortal_gift;Lilith's Immortal Gift;;;;;;;;;;;;;x
dw_blood_moon_drunkard;Blood Moon Drunkard;;;;;;;;;;;;;x
dw_blood_moon_gluttony;Blood Moon Gluttony;;;;;;;;;;;;;x
dw_blood_moon_spanking;Blood Moon Spanking;;;;;;;;;;;;;x
dw_blood_moon_ass_ale;Blood Moon Ass Ale;;;;;;;;;;;;;x
dw_blood_moon_lesbian_wine;Blood Moon Wine Tasting;;;;;;;;;;;;;x
dw_beautify_self_title;Beautify Self;;;;;;;;;;;;;x
dw_heal_major_self_title;Major Heal Self;;;;;;;;;;;;;x
dw_incubus_death_dream_title;Dream of Death;;;;;;;;;;;;;x
dw_life_leech_title;A Lover's Embrace;;;;;;;;;;;;;x
dw_alter_appearance_title;Alter Appearance;;;;;;;;;;;;;x
dw_incubus_intimidation_illusion_title;Incubus Intimidation;;;;;;;;;;;;;x
dw_alter_cock_size_title;Cock Shaping;;;;;;;;;;;;;x
dw_kiss_of_seduction_title;Kiss of Seduction;;;;;;;;;;;;;x
dw_succubus_corruption_spell_title;Corporeal Corruption;;;;;;;;;;;;;x
dw_lilith_immortality_spell;Spell of Immortality;;;;;;;;;;;;;x
dw_blood_moon_intimate_art;Intimate Dinner Art;;;;;;;;;;;;;x
dw_heal_minor_self_title;Minor Heal Self;;;;;;;;;;;;;x
dw_heal_moderate_self_title;Moderate Heal Self;;;;;;;;;;;;;x
#Custom Tooltips
dw_refused_liliths_embrace;I refuse Lilith's embrace. Opening myself to Divine salvation.;;;;;;;;;;;;;x
dw_blood_moon_cooldown;Blood Moon cool down;;;;;;;;;;;;;x
dw_blood_moon_no_show_fallout;Failing to pay tribute will lessen [From.GetFirstName] in people's opinion.;;;;;;;;;;;;;x
dw_blood_moon_celebration_begins;The Blood Moon Celebration Begins!;;;;;;;;;;;;;x
#Decisions
dw_pox_purge;Lover's Pox Purge;;;;;;;;;;;;;x
dw_pox_purge_desc;As a child of Lilith, I am empowered to either be a disease carrier, or one free from its taint. Through this ritual of self cleansing, I can remove the Lover's Pox from myself.;;;;;;;;;;;;;x
dw_blood_moon_ritual;Blood Moon Ritual;;;;;;;;;;;;;x
dw_blood_moon_ritual_desc;Give praise to your mother Lilith in this special celebration.;;;;;;;;;;;;;x
dw_beautify_self;Beautify Self;;;;;;;;;;;;;x
dw_beautify_self_desc;As a child of Lilith, I'm blessed with the ability improve upon my looks so as to be more attractive others. Improving my ability to manipulate them accordingly. If I am disfigured, this may require multiple castings.;;;;;;;;;;;;;x
dw_lilith_major_heal_self;Major Heal Self;;;;;;;;;;;;;x
dw_lilith_major_heal_self_desc;In having reached the peak of evolution as a child of Lilith, I'm now skilled enough to where my ability to change form can be focused in such a way as to heal myself of major diseases and injuries, to include regenerating lost body parts.;;;;;;;;;;;;;x
dw_lilith_minor_heal_self;Minor Heal Self;;;;;;;;;;;;;x
