#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
aossi;Aos Si;Aos Si;Aos Si;;Aos Si;;;;;;;;;x
aossi_1;Aos Si §G(Young)§!;Aos Si;Aos Si;;Aos Si;;;;;;;;;x
aossi_2;Aos Si §Y(Adult)§!;Aos Si;Aos Si;;Aos Si;;;;;;;;;x
aossi_3;Aos Si §C(Aging)§!;Aos Si;Aos Si;;Aos Si;;;;;;;;;x
aossi_4;Aos Si §R(Old)§!;Aos Si;Aos Si;;Aos Si;;;;;;;;;x
aossi_5;Aos Si §K(Ancient)§!!;Aos Si;Aos Si;;Aos Si;;;;;;;;;x
aossi_desc;This is an Aos Si, one of the ancient mysterious mound builders. One of the oldest and wisest of the races, they are small in population due to many wars and blight which has struck their kind. They possess the slightest curve in their ears, and a lithe build with fair skin. Above all, they are known for their grace and sexuality known world-wide as the best revelers, proficient with the carnal arts. \n §GHumanoid§!;;;;;;;;;;;;;x
aossi_1_desc;This is an Aos Si, one of the ancient mysterious mound builders. One of the oldest and wisest of the races, they are small in population due to many wars and blight which has struck their kind. They possess the slightest curve in their ears, and a lithe build with fair skin. Above all, they are known for their grace and sexuality known world-wide as the best revelers, proficient with the carnal arts. \n §GHumanoid§!;;;;;;;;;;;;;x
aossi_2_desc;This is an Aos Si, one of the ancient mysterious mound builders. One of the oldest and wisest of the races, they are small in population due to many wars and blight which has struck their kind. They possess the slightest curve in their ears, and a lithe build with fair skin. Above all, they are known for their grace and sexuality known world-wide as the best revelers, proficient with the carnal arts. \n §GHumanoid§!;;;;;;;;;;;;;x
aossi_3_desc;This is an Aos Si, one of the ancient mysterious mound builders. One of the oldest and wisest of the races, they are small in population due to many wars and blight which has struck their kind. They possess the slightest curve in their ears, and a lithe build with fair skin. Above all, they are known for their grace and sexuality known world-wide as the best revelers, proficient with the carnal arts. \n §GHumanoid§!;;;;;;;;;;;;;x
aossi_4_desc;This is an Aos Si, one of the ancient mysterious mound builders. One of the oldest and wisest of the races, they are small in population due to many wars and blight which has struck their kind. They possess the slightest curve in their ears, and a lithe build with fair skin. Above all, they are known for their grace and sexuality known world-wide as the best revelers, proficient with the carnal arts. \n §GHumanoid§!;;;;;;;;;;;;;x
aossi_5_desc;This is an Aos Si, one of the ancient mysterious mound builders. One of the oldest and wisest of the races, they are small in population due to many wars and blight which has struck their kind. They possess the slightest curve in their ears, and a lithe build with fair skin. Above all, they are known for their grace and sexuality known world-wide as the best revelers, proficient with the carnal arts. \n §GHumanoid§!;;;;;;;;;;;;;x
nua;Nua;;;;;;;;;x
nua_1;Nua §G(Young)§!;;;;;;;;;x
nua_2;Nua §Y(Adult)§!;;;;;;;;;x
nua_3;Nua §C(Aging)§!;;;;;;;;;x
nua_4;Nua §R(Old)§!;;;;;;;;;x
nua_5;Nua §K(Ancient)§!;;;;;;;;;x
nua_desc;This is a Nua, the great builders and fighters of the eastern peninsula. Though their lifespans are short and their history shorter, their numbers make of for all of these. They remain one of the most powerful races building castles that not even the greatest armies can assail. They possess man shapes and sizes but they have tan skin, and regular build. They have no qualms with sexuality known for their exploits though mostly with their own race. \n §GHumanoid§!;;;;;;;;;;;;;x
nua_1_desc;This is a Nua, the great builders and fighters of the eastern peninsula. Though their lifespans are short and their history shorter, their numbers make of for all of these. They remain one of the most powerful races building castles that not even the greatest armies can assail. They possess man shapes and sizes but they have tan skin, and regular build. They have no qualms with sexuality known for their exploits though mostly with their own race. \n §GHumanoid§!;;;;;;;;;;;;;x
nua_2_desc;This is a Nua, the great builders and fighters of the eastern peninsula. Though their lifespans are short and their history shorter, their numbers make of for all of these. They remain one of the most powerful races building castles that not even the greatest armies can assail. They possess man shapes and sizes but they have tan skin, and regular build. They have no qualms with sexuality known for their exploits though mostly with their own race. \n §GHumanoid§!;;;;;;;;;;;;;x
nua_3_desc;This is a Nua, the great builders and fighters of the eastern peninsula. Though their lifespans are short and their history shorter, their numbers make of for all of these. They remain one of the most powerful races building castles that not even the greatest armies can assail. They possess man shapes and sizes but they have tan skin, and regular build. They have no qualms with sexuality known for their exploits though mostly with their own race. \n §GHumanoid§!;;;;;;;;;;;;;x
nua_4_desc;This is a Nua, the great builders and fighters of the eastern peninsula. Though their lifespans are short and their history shorter, their numbers make of for all of these. They remain one of the most powerful races building castles that not even the greatest armies can assail. They possess man shapes and sizes but they have tan skin, and regular build. They have no qualms with sexuality known for their exploits though mostly with their own race. \n §GHumanoid§!;;;;;;;;;;;;;x
nua_5_desc;This is a Nua, the great builders and fighters of the eastern peninsula. Though their lifespans are short and their history shorter, their numbers make of for all of these. They remain one of the most powerful races building castles that not even the greatest armies can assail. They possess man shapes and sizes but they have tan skin, and regular build. They have no qualms with sexuality known for their exploits though mostly with their own race. \n §GHumanoid§!;;;;;;;;;;;;;x
