emperor;Emperor;;;;;;;;;;;;;
emperor_adj;Emperor;;;;;;;;;;;;;
emperor_desc;Emperor;;;;;;;;;;;;;
king;King;;;;;;;;;;;;;
king_adj;King;;;;;;;;;;;;;
king_desc;King;;;;;;;;;;;;;
duke;Duke;;;;;;;;;;;;;
duke_adj;Duke;;;;;;;;;;;;;
duke_desc;Duke;;;;;;;;;;;;;
count;Count;;;;;;;;;;;;;
count_adj;Count;;;;;;;;;;;;;
count_desc;Count;;;;;;;;;;;;;
baron;Baron;;;;;;;;;;;;;
baron_adj;Baron;;;;;;;;;;;;;
baron_desc;Baron;;;;;;;;;;;;;
mayor;Mayor;;;;;;;;;;;;;
mayor_adj;Mayor;;;;;;;;;;;;;
mayor_desc;Mayor;;;;;;;;;;;;;
barbarian;Bolaide;;;;;;;;;;;;;
barbarian_adj;Bolaide;;;;;;;;;;;;;
barbarian_desc;Bolaide;;;;;;;;;;;;;
norse;Cennlas;;;;;;;;;;;;;
norse_adj;Cennlas;;;;;;;;;;;;;
norse_desc;Cennlas;;;;;;;;;;;;;
pagan;Burkat;;;;;;;;;;;;;
pagan_adj;Burkat;;;;;;;;;;;;;
pagan_desc;Burkat;;;;;;;;;;;;;
christian;Traarokat;;;;;;;;;;;;;
christian_adj;Traarokat;;;;;;;;;;;;;
christian_desc;Traarokat;;;;;;;;;;;;;
pagan_DESC;All praise the almighty Tajr!;;;;;;;;;;;;;
pagan_DESC_adj;All praise the almighty Tajr!;;;;;;;;;;;;;
pagan_DESC_desc;All praise the almighty Tajr!;;;;;;;;;;;;;
wigo;Wigo;;;;;;;;;;;;;
wigo_adj;Wigo;;;;;;;;;;;;;
wigo_desc;Wigo;;;;;;;;;;;;;
kopar;Kopar;;;;;;;;;;;;;
kopar_adj;Kopar;;;;;;;;;;;;;
kopar_desc;Kopar;;;;;;;;;;;;;
koniaco;Koniaco;;;;;;;;;;;;;
koniaco_adj;Koniaco;;;;;;;;;;;;;
koniaco_desc;Koniaco;;;;;;;;;;;;;
kopupo;Kopupo;;;;;;;;;;;;;
kopupo_adj;Kopupo;;;;;;;;;;;;;
kopupo_desc;Kopupo;;;;;;;;;;;;;
egaralda;Egaralda;;;;;;;;;;;;;
egaralda_adj;Egaralda;;;;;;;;;;;;;
egaralda_desc;Egaralda;;;;;;;;;;;;;
kesco;Kesco;;;;;;;;;;;;;
kesco_adj;Kesco;;;;;;;;;;;;;
kesco_desc;Kesco;;;;;;;;;;;;;
kesra;Kesra;;;;;;;;;;;;;
kesra_adj;Kesra;;;;;;;;;;;;;
kesra_desc;Kesra;;;;;;;;;;;;;
rar;Rar;;;;;;;;;;;;;
rar_adj;Rar;;;;;;;;;;;;;
rar_desc;Rar;;;;;;;;;;;;;
tar;Tar;;;;;;;;;;;;;
tar_adj;Tar;;;;;;;;;;;;;
tar_desc;Tar;;;;;;;;;;;;;
lar;Lar;;;;;;;;;;;;;
lar_adj;Lar;;;;;;;;;;;;;
lar_desc;Lar;;;;;;;;;;;;;
war;War;;;;;;;;;;;;;
war_adj;War;;;;;;;;;;;;;
war_desc;War;;;;;;;;;;;;;
kuda;Kuda;;;;;;;;;;;;;
kuda_adj;Kuda;;;;;;;;;;;;;
kuda_desc;Kuda;;;;;;;;;;;;;
qoo;Qo�o;;;;;;;;;;;;;
qoo_adj;Qo�o;;;;;;;;;;;;;
qoo_desc;Qo�o;;;;;;;;;;;;;
ba;Ba;;;;;;;;;;;;;
ba_adj;Ba;;;;;;;;;;;;;
ba_desc;Ba;;;;;;;;;;;;;
